sale_id,medicine_id,quantity_sold,selling_price,discount_percent,sale_date,sale_time,payment_method,prescription_required,bill_no
50000,1027,1,662.47,0,19-11-2025,19:41,Cash,TRUE,BIL251119-700
50001,1010,1,653.94,0,19-11-2025,10:12,UPI,FALSE,BIL251119-554
50002,1002,3,87.16,5,19-11-2025,21:21,Cash,FALSE,BIL251119-572
50003,1029,1,740.82,0,19-11-2025,20:25,Card,FALSE,BIL251119-491
50004,1017,2,154.79,0,19-11-2025,11:17,Cash,FALSE,BIL251119-252
50005,1019,1,502.96,0,19-11-2025,13:31,Card,FALSE,BIL251119-663
50006,1010,2,88.42,0,19-11-2025,15:12,Card,FALSE,BIL251119-916
50007,1011,2,486.39,5,19-11-2025,21:01,Insurance,FALSE,BIL251119-900
50008,1018,3,374.45,5,19-11-2025,14:58,Card,TRUE,BIL251119-429
50009,1005,1,160.26,0,19-11-2025,12:01,UPI,FALSE,BIL251119-897
50010,1008,1,650.75,0,19-11-2025,14:49,Card,FALSE,BIL251119-338
50011,1011,5,98.1,0,19-11-2025,13:34,UPI,FALSE,BIL251119-854
50012,1018,1,797.19,0,19-11-2025,21:24,Cash,TRUE,BIL251119-959
50013,1017,10,155.5,0,19-11-2025,14:51,UPI,FALSE,BIL251119-467
50014,1005,4,39.9,5,19-11-2025,18:36,Cash,FALSE,BIL251119-292
50015,1014,3,554.3,15,19-11-2025,17:19,Cash,FALSE,BIL251119-138
50016,1026,1,201.45,0,19-11-2025,17:30,Cash,TRUE,BIL251119-728
50017,1026,1,115.69,5,19-11-2025,21:54,UPI,TRUE,BIL251119-160
50018,1016,1,429.8,10,19-11-2025,21:07,UPI,TRUE,BIL251119-981
50019,1024,1,72.75,5,19-11-2025,19:25,Card,FALSE,BIL251119-444
50020,1015,1,126.43,0,19-11-2025,15:50,Card,FALSE,BIL251119-598
50021,1013,2,132.5,15,19-11-2025,20:56,UPI,FALSE,BIL251119-905
50022,1003,1,512.16,5,19-11-2025,15:19,UPI,FALSE,BIL251119-401
50023,1023,1,529.64,10,19-11-2025,18:25,UPI,FALSE,BIL251119-889
50024,1008,5,45.26,0,19-11-2025,21:39,Cash,FALSE,BIL251119-679
50025,1018,1,407.02,0,19-11-2025,10:15,Cash,TRUE,BIL251119-427
50026,1012,1,710.55,0,19-11-2025,20:42,Card,FALSE,BIL251119-443
50027,1015,2,226.87,0,19-11-2025,10:22,Cash,FALSE,BIL251119-210
50028,1010,3,57.56,0,19-11-2025,15:10,UPI,FALSE,BIL251119-604
50029,1017,4,293.96,0,19-11-2025,16:50,UPI,FALSE,BIL251119-766
50030,1028,3,195.95,0,19-11-2025,21:54,Cash,FALSE,BIL251119-120
50031,1018,1,762.3,0,19-11-2025,11:56,Cash,TRUE,BIL251119-849
50032,1014,1,641.44,15,19-11-2025,14:38,Insurance,FALSE,BIL251119-594
50033,1023,3,356.43,0,19-11-2025,18:56,Card,FALSE,BIL251119-154
50034,1023,1,180.33,0,19-11-2025,20:35,UPI,FALSE,BIL251119-847
50035,1012,2,535.27,0,19-11-2025,10:03,Cash,FALSE,BIL251119-662
50036,1015,3,139.8,0,19-11-2025,15:05,Cash,FALSE,BIL251119-777
50037,1009,2,394.66,0,19-11-2025,12:10,Card,TRUE,BIL251119-183
50038,1023,2,104.59,5,19-11-2025,16:31,UPI,FALSE,BIL251119-371
50039,1028,1,444.42,0,19-11-2025,15:23,Cash,FALSE,BIL251119-145
50040,1010,1,382.75,0,19-11-2025,13:36,Cash,FALSE,BIL251119-870
50041,1016,2,95.43,0,19-11-2025,21:34,Card,TRUE,BIL251119-874
50042,1009,2,429.22,5,19-11-2025,17:26,Insurance,TRUE,BIL251119-803
50043,1023,4,351.33,10,19-11-2025,16:19,Cash,FALSE,BIL251119-974
50044,1023,3,370.48,10,19-11-2025,21:36,UPI,FALSE,BIL251119-735
50045,1018,1,760.42,0,19-11-2025,11:13,UPI,TRUE,BIL251119-229
50046,1026,1,81.13,0,19-11-2025,12:52,Card,TRUE,BIL251119-954
50047,1019,2,255.93,5,19-11-2025,21:04,Cash,FALSE,BIL251119-669
